,dbas,wind,precipitation,noise,taxi
204,60.986662961933874,5.7,0.0,0.0,419
205,59.67526475694444,5.7,0.25,0.0,396
206,59.130379098360656,7.2,0.0,0.0,419
207,58.98509982638889,6.7,0.0,0.0,444
208,60.322472388163376,6.2,0.0,0.0,397
209,61.06240882884134,6.2,0.0,0.0,473
210,58.221936649069185,8.8,0.0,0.0,607
211,56.203502604166665,8.5,0.0,0.0,578
212,57.152889691580995,8.8,0.0,0.0,594
213,56.23448350694444,9.8,0.0,0.0,555
214,54.630700368157825,7.45,0.0,0.0,455
215,55.216388888888886,6.2,0.0,0.0,286
216,55.23080630036121,5.7,0.0,0.0,123
217,52.894366319444444,5.95,0.0,0.0,73
218,52.329441883836985,6.2,0.0,0.0,39
219,52.23385402195054,3.1,0.0,0.0,14
220,51.67302951388889,2.85,0.0,0.0,24
221,54.23381076388889,1.55,0.0,0.0,55
222,54.354621075298695,2.1,0.0,0.0,130
223,56.04410590277778,2.35,0.0,0.0,316
224,58.59134915948875,1.5,0.0,0.0,506
225,59.001475694444444,0.0,0.0,0.0,497
226,58.0037510419561,1.05,0.0,0.0,464
227,58.830234375,3.1,0.0,0.0,422
228,60.92020352875799,3.1,0.0,0.0,493
229,58.31735243055556,2.85,0.0,0.0,422
230,58.97778028619061,0.0,0.0,0.0,409
231,59.32243489583333,3.1,0.0,0.0,421
232,60.42908620450125,1.55,0.0,0.0,419
233,58.4980859375,1.5,0.0,0.0,462
234,60.65551628924701,1.5,0.0,0.0,647
235,59.69162760416667,2.3,0.0,0.0,628
236,59.29420498749653,3.6,0.0,0.0,597
237,60.966701388888886,3.1,0.0,0.0,599
238,58.2538943109197,3.35,0.0,0.0,525
239,59.481792534722224,2.6,0.0,0.0,342
240,57.63677951388889,1.5,0.0,0.0,189
241,57.87214764517922,0.75,0.0,0.0,74
242,58.328372395833334,2.6,0.0,0.0,49
243,58.188533273131426,4.1,0.0,0.0,32
244,58.217035590277774,3.5999999999999996,0.0,0.0,32
245,59.14241369130314,1.05,0.0,0.0,55
246,60.18707465277778,2.1,0.0,0.0,143
247,61.02181161433732,1.05,0.0,0.0,355
248,62.49811631944444,0.0,0.0,0.0,491
249,65.12522575715477,0.0,0.0,0.0,507
250,62.127764756944444,0.0,0.0,0.0,403
251,61.49291469852737,0.0,0.0,0.0,473
252,61.99716145833333,1.5,0.0,0.0,452
253,62.280412093637125,1.5,0.0,0.0,449
254,61.23867621527778,0.0,0.0,0.0,496
255,60.610920568213395,0.0,0.0,0.0,458
256,60.77604600694445,1.05,0.0,0.0,445
257,60.95159679772159,2.1,0.0,0.0,536
258,60.672734375,2.1,0.0,0.0,652
259,60.654995659722225,2.1,0.0,0.0,699
260,60.4365361906085,2.1,0.0,0.0,650
261,60.957408854166665,1.5,0.0,0.0,599
262,60.6541400388997,1.5,0.0,0.0,542
263,62.0139453125,2.1,0.0,0.0,440
264,59.635102632675746,3.1,0.0,0.0,243
265,57.88323350694444,1.0333333333333334,0.0,0.0,156
266,57.30696026674076,2.1,0.0,0.0,81
267,56.783389756944445,3.6,0.0,0.0,43
268,55.8640334120589,2.85,0.0,0.0,41
269,58.75112847222222,0.0,0.0,0.0,53
270,59.27011843567658,2.6,0.0,0.0,153
271,62.48133246527778,1.5666666666666667,0.0,0.0,333
272,62.32426976243401,1.5,0.0,0.0,461
273,63.24497395833333,4.6,0.0,0.0,526
274,62.75848325923868,5.9,0.0,0.0,428
275,62.275394965277776,8.4,0.0,0.0,427
276,62.810515941928315,7.533333333333334,0.2333333333333333,0.0,433
277,63.34934895833333,7.5,0.04285714285714286,0.0,458
278,65.32403645833334,7.2,0.3,0.0,478
279,64.79588948318977,11.8,0.3,0.0,511
280,62.68243489583333,9.933333333333334,0.16666666666666666,0.0,378
281,63.08469800639067,6.7,0.5,0.0,488
282,61.584696180555554,9.9,2.25,0.0,727
283,63.920099333148094,10.55,2.65,0.0,709
284,62.270121527777775,9.3,0.3,0.0,604
285,63.58141584467908,5.7,0.5,0.0,704
286,62.89085503472222,7.5,0.5,0.0,598
287,62.62071929702695,7.949999999999999,0.0,0.0,603
288,60.40068576388889,5.7,0.0,0.0,437
289,59.494851000277855,5.866666666666667,0.43333333333333335,0.0,298
290,59.85509982638889,6.9799999999999995,0.0,0.0,239
291,59.87171783828841,7.45,0.6,0.0,145
292,57.00256076388889,7.7,1.8333333333333333,0.0,79
293,56.20830873159211,7.3500000000000005,3.0500000000000003,0.0,40
294,54.408428819444445,9.3,0.5,0.0,33
295,56.03392001250347,8.25,0.0,0.0,105
296,59.427547743055555,6.7,0.3,1.0,222
297,66.00625434027778,8.0,0.65,0.0,354
298,58.47896116976938,11.5,0.3333333333333333,0.0,461
299,57.98302951388889,11.05,0.0,0.0,527
300,58.593554633231456,8.4,0.0,0.0,603
301,58.06592447916667,9.48,0.4,0.0,572
302,63.16618331480967,8.75,0.0,0.0,552
303,58.38318142361111,10.3,0.0,0.0,631
304,57.519983849680465,11.55,0.0,0.0,593
305,58.73700954861111,9.1,0.0,0.0,577
306,57.27106922061684,8.8,0.0,0.0,729
307,57.32329427083334,7.25,0.0,0.0,730
308,57.49316650458461,7.7,0.0,0.0,669
309,57.78243923611111,8.8,0.0,0.0,663
310,57.132341449013616,9.55,0.0,0.0,603
311,56.98600694444445,8.2,0.0,0.0,652
312,57.369191094748544,10.3,0.0,0.0,563
313,56.56213551791169,10.8,0.0,0.0,399
314,55.38005348707974,8.2,0.0,0.0,291
315,55.28031684027778,9.8,0.0,0.0,190
316,54.26777837593776,9.55,0.0,0.0,101
317,53.34972222222222,4.1,1.0,0.0,23
318,53.70498315504307,8.2,0.0,0.0,32
319,54.89703559027778,8.5,0.0,0.0,64
320,55.87604629758266,6.2,0.0,0.0,124
321,56.77664930555556,7.7,0.0,0.0,229
322,57.072350826618504,7.45,0.0,0.0,396
323,55.816684027777775,8.2,0.0,0.0,434
324,56.41199812447902,6.7,0.0,0.0,514
325,56.37118489583333,6.45,0.0,0.0,520
326,56.20226104473465,6.2,0.0,0.0,509
327,56.55939670138889,9.3,0.0,0.0,559
328,57.0204296875,8.5,0.0,0.0,593
329,56.354013267574324,8.2,0.0,0.0,600
330,56.450221354166665,6.7,0.0,0.0,607
331,56.10589313003612,6.45,0.0,0.0,515
332,55.798381076388885,7.2,0.0,0.0,509
333,56.55303556543484,7.2,0.0,0.0,494
334,56.91975260416667,6.95,0.0,0.0,369
335,57.65713566268408,5.7,0.0,0.0,311
336,56.403324652777776,8.2,0.0,0.0,199
337,54.95398461378161,6.3999999999999995,0.0,0.0,116
338,54.29700954861111,6.7,0.0,0.0,61
339,53.71525076410114,5.7,0.0,0.0,44
340,53.986566840277774,6.2,0.0,0.0,27
341,54.14207505557099,3.1,0.0,0.0,38
342,55.692647569444446,6.2,0.0,0.0,51
343,59.42392852181161,5.65,0.0,0.0,126
344,59.39573784722222,6.2,0.0,0.0,212
345,62.78497065156988,7.2,0.0,0.0,293
346,61.37960069444444,6.7,0.0,0.0,343
347,60.38122395833334,5.1,0.0,0.0,409
348,59.25087697971659,6.7,0.0,0.0,480
349,59.03604166666667,6.2,0.0,0.0,467
350,59.74126927618783,5.7,0.0,0.0,473
351,59.109388020833336,7.7,0.0,0.0,538
352,59.117532647957766,7.2,0.0,0.0,483
353,58.892703993055555,7.2,0.0,0.0,530
354,58.39500121561545,5.7,0.0,0.0,599
355,57.8085546875,6.2,0.0,0.0,558
356,57.97780633509308,6.2,0.0,0.0,445
357,57.70657552083333,4.6,0.0,0.0,425
358,58.02125590441789,5.15,0.0,0.0,361
359,57.37400607638889,5.1,0.0,0.0,262
360,55.89203598221728,2.6,0.0,0.0,104
361,55.21661892361111,2.85,0.0,0.0,62
362,54.568200368157825,3.1,0.0,0.0,24
363,56.137196180555556,3.1,0.0,0.0,21
364,54.36988573214782,3.1,0.0,0.0,22
365,55.81206597222222,1.05,0.0,0.0,40
366,58.21561197916667,3.1,0.0,0.0,183
367,58.23872082522923,3.5999999999999996,0.0,0.0,328
368,60.51598524305555,4.1,0.0,0.0,480
369,62.20347231869964,3.6,0.0,0.0,560
370,60.41719618055556,3.766666666666667,0.0,0.0,446
371,59.81751875520978,3.6,0.0,2.0,412
372,59.81355902777778,1.5,0.0,0.0,391
373,61.71886287857738,2.733333333333333,0.0,0.0,488
374,60.387981770833335,1.5,0.0,0.0,528
375,60.083916539316476,0.0,0.0,0.0,506
376,60.68444878472222,1.3,0.0,0.0,439
377,59.73955873159211,1.5,0.0,0.0,543
378,60.180538194444445,3.6,0.0,0.0,687
379,60.10197711169769,3.1,0.0,0.0,627
380,59.7290625,3.6,0.0,0.0,584
381,59.2546193387052,2.6,0.0,0.0,681
382,60.03063802083334,2.85,0.0,0.0,436
383,59.1147106835232,2.6,0.0,0.0,252
384,59.29650173611111,2.6,0.0,0.0,140
385,57.97890625,2.6,0.0,0.0,67
386,57.80664767991109,3.1,0.0,0.0,34
387,55.63680121527778,2.6,0.0,0.0,25
388,55.22520144484579,2.6,0.0,0.0,30
389,55.950763888888886,1.3,0.0,0.0,68
390,61.92805727285357,2.6,0.0,0.0,157
391,60.78482204861111,2.6,0.0,0.0,337
392,62.84937656293415,3.1,0.0,0.0,541
393,64.99428819444445,3.1,1.0,0.0,551
394,62.619916122534036,2.85,0.75,0.0,459
395,63.13481770833334,2.1,0.25,0.0,445
396,62.166304876354545,3.8499999999999996,0.0,0.0,498
397,62.17740451388889,4.6,1.25,0.0,429
398,60.20977181161434,5.95,0.75,0.0,436
399,60.38505642361111,4.966666666666667,0.5,0.0,490
400,58.68073162684079,4.266666666666667,1.4333333333333333,0.0,451
401,58.77213975694445,5.133333333333333,0.16666666666666666,0.0,526
402,58.96936649069186,6.825,0.0,0.0,695
403,59.69203125,6.366666666666667,1.3333333333333333,0.0,708
404,58.06667216587941,5.95,0.0,0.0,688
405,59.32043402777778,5.1,0.0,0.0,695
406,57.00265625,5.9,0.0,0.0,510
407,56.76170898166157,6.7,0.0,0.0,355
408,56.25218315972222,6.95,0.0,0.0,194
409,54.11304355376493,6.95,0.0,0.0,96
410,53.134982638888886,7.2,0.0,0.0,38
411,53.890985343150874,6.7,0.0,0.0,32
412,54.17384548611111,6.7,0.0,0.0,23
413,54.970338983050844,3.35,2.8,0.0,41
414,55.07086371527778,5.15,0.0,0.0,178
415,59.15180866212837,5.95,0.0,0.0,375
416,60.843111979166665,8.2,0.0,0.0,572
417,63.024724749930535,9.3,0.0,0.0,564
418,59.43601128472222,9.05,0.0,0.0,518
419,60.1477927896638,5.1,0.0,0.0,474
420,59.823580729166665,2.6,0.0,0.0,501
421,58.937348048068905,4.4,1.9,0.0,479
422,58.68116753472222,5.7,0.0,0.0,455
423,59.24901882467352,3.6,0.0,0.0,551
424,58.35698784722222,5.15,0.0,0.0,481
425,58.95998263888889,7.2,0.0,0.0,604
426,57.87506512225618,7.2,0.0,0.0,730
427,57.39347222222222,8.0,0.0,0.0,701
428,57.06811353848291,7.7,0.0,0.0,660
429,57.28674913194445,7.7,0.0,0.0,685
430,56.663921401778275,7.2,0.0,0.0,587
431,58.17444444444445,7.2,0.0,0.0,432
432,56.305214990275076,7.2,0.0,0.0,265
433,55.21917100694444,6.7,0.0,0.0,124
434,54.84765733537094,6.2,0.0,0.0,69
435,54.378177083333334,6.7,0.0,0.0,42
436,54.2138918796888,6.45,0.0,0.0,38
437,54.89401041666667,2.05,0.0,0.0,55
438,57.331272575715474,5.1,0.0,0.0,172
439,59.76474826388889,4.35,0.0,0.0,338
440,61.605940886357324,3.6,0.0,0.0,517
441,65.62148871527778,4.6,0.0,0.0,563
442,63.79572884829119,4.1,0.0,0.0,471
443,60.129583333333336,2.6,0.0,0.0,464
444,60.2521875,4.1,0.0,0.0,481
445,59.33379931925535,4.6,0.0,0.0,427
446,60.00202256944444,5.7,0.0,0.0,479
447,59.56227858432898,6.2,0.0,0.0,556
448,60.3490234375,5.4,0.0,0.0,486
449,60.55683436371214,5.7,0.0,0.0,555
450,60.53690972222222,6.7,0.0,0.0,682
451,59.525358606557376,6.7,0.0,0.0,693
452,58.33674045138889,5.7,0.0,0.0,709
453,58.55489806196166,6.7,0.0,0.0,619
454,58.23937065972222,5.4,0.0,0.0,583
455,57.8106678938594,5.1,0.0,0.0,613
456,58.562261284722226,3.6,0.0,0.0,455
457,57.681543484301194,3.1,0.0,0.0,366
458,57.8898828125,3.1,0.0,0.0,235
459,55.99468168241178,2.1,0.0,0.0,151
460,55.92363715277778,3.3499999999999996,0.0,0.0,80
461,54.8292798346763,2.3,0.0,0.0,36
462,59.93546875,4.1,0.0,0.0,41
463,58.71694878472222,3.8499999999999996,0.0,0.0,103
464,59.79924110864129,2.6,0.0,0.0,223
465,59.3964453125,4.1,0.0,0.0,347
466,59.9027377396499,5.15,0.0,0.0,426
467,59.888385416666665,5.1,0.0,0.0,457
468,59.681691094748544,7.7,0.0,0.0,449
469,60.824717881944444,7.7,0.0,0.0,453
470,60.64383335648791,6.7,0.0,0.0,512
471,60.8953125,4.1,0.0,0.0,523
472,59.695418866351766,6.1499999999999995,0.0,0.0,540
473,58.88592447916667,8.2,0.0,0.0,597
474,58.373397992497914,6.2,0.0,0.0,651
475,58.726749131944445,6.95,0.0,0.0,663
476,57.4904357113087,9.3,0.0,0.0,590
477,57.53741319444445,9.3,0.0,1.0,599
478,57.72325211864407,8.0,0.0,0.0,550
479,57.17008246527778,6.7,0.0,0.0,592
480,56.86025632120033,6.2,0.0,1.0,520
481,56.52309461805555,5.4,0.0,0.0,350
482,55.78154087941095,4.1,0.0,0.0,302
483,55.708988715277776,4.1,0.0,0.0,214
484,53.73819010416667,4.6,0.0,0.0,103
485,52.60515941928313,2.3,0.0,0.0,30
486,53.20407118055556,2.6,0.0,0.0,35
487,54.30284454015004,2.85,0.0,0.0,74
488,55.86228298611111,3.1,0.0,0.0,133
489,56.210501180883576,3.6,0.0,0.0,253
490,56.690846354166666,3.6,0.0,0.0,337
491,58.052749027507645,4.6,0.0,0.0,417
492,58.541041666666665,3.6,0.0,0.0,444
493,58.995510905807166,3.6,0.0,0.0,412
494,59.44328125,3.1,0.0,0.0,464
495,60.67805293136983,4.6,0.0,0.0,487
496,59.377734375,4.35,0.0,0.0,509
497,58.983372117254795,3.1,0.0,0.0,507
498,57.92881510416667,2.6,0.0,0.0,527
499,58.22892209641567,3.1,0.0,0.0,450
500,58.24217013888889,3.6,0.0,0.0,347
501,57.66763771186441,3.1,0.0,0.0,359
502,56.20586371527778,2.6,0.0,0.0,254
503,56.66368923611111,3.1,0.0,0.0,159
504,55.766711975463544,4.6,0.0,0.0,92
505,55.40126302083333,3.05,0.0,0.0,41
506,53.63531536537927,2.1,0.0,0.0,31
507,54.31881076388889,2.1,0.0,0.0,15
508,54.666561023895525,2.1,0.0,0.0,15
509,55.55384982638889,0.0,0.0,0.0,67
510,56.958638684356764,2.6,0.0,0.0,162
511,59.6976953125,2.6,0.0,0.0,274
512,60.99551524729092,1.5,0.0,0.0,445
513,60.69576822916667,2.1,0.0,0.0,438
514,60.07031467074187,1.05,0.0,0.0,370
515,61.37587239583333,1.5,0.0,0.0,374
516,61.24661364267852,1.5,0.0,0.0,380
517,60.858884412336764,1.5,0.0,0.0,395
518,59.924114583333335,0.0,0.0,0.0,465
519,60.71050552236733,0.0,0.0,0.0,517
520,60.05766059027778,0.75,0.0,0.0,434
521,59.40057568074465,1.5,0.0,0.0,494
522,59.62348090277778,1.5,0.0,0.0,628
523,59.740127465962765,2.05,0.0,0.0,630
524,58.28588975694444,3.1,0.0,0.0,558
525,58.75617793136983,3.6,0.0,0.0,559
526,57.185919699916646,3.8499999999999996,0.0,0.0,361
527,57.10011888586956,5.1,0.0,0.0,201
528,56.947878295851105,4.1,0.0,0.0,116
529,56.12728732638889,3.9749999999999996,0.0,0.0,52
530,55.043597179772156,3.6,0.0,0.0,42
531,54.77025173611111,2.6,0.0,0.0,23
532,54.856939427618784,2.6,0.0,0.0,21
533,55.88252170138889,2.4,0.0,0.0,46
534,58.94822482638889,3.35,0.0,0.0,145
535,61.08984700611281,2.766666666666667,0.0,0.0,308
536,62.9360546875,2.1,0.0,0.0,524
537,64.68310207696582,2.6,0.0,0.0,587
538,63.84338541666666,1.55,0.0,0.0,459
539,62.60742133231453,2.766666666666667,0.0,0.0,445
540,62.823893229166664,6.5,0.09999999999999999,0.0,462
541,61.43001962350653,8.775,0.25,0.0,391
542,61.45551215277778,6.325,0.075,0.0,472
543,60.02534558210614,7.7250000000000005,0.5,0.0,497
544,60.81919704861111,10.825000000000001,2.05,0.0,434
545,60.211217525701585,12.075,0.125,0.0,522
546,59.61808159722222,10.05,0.25,0.0,702
547,59.4826948457905,7.3500000000000005,1.325,0.0,704
548,58.398511284722225,4.1,0.0,0.0,713
549,57.71481661572659,5.7,0.0,0.0,621
550,57.02487413194444,4.15,0.15,0.0,546
551,56.883826236454574,9.25,0.0,0.0,369
552,56.0811301369863,6.2,0.0,0.0,172
553,54.18114406779661,7.5,0.15,0.0,62
554,54.01081163194444,7.2,0.0,0.0,39
555,56.64863503751042,8.2,0.0,1.0,15
556,53.985377604166665,8.2,0.0,0.0,27
557,54.175203993055554,4.1,2.8,0.0,52
558,56.544760697415946,6.2,0.0,0.0,155
559,59.17870225694445,5.15,0.0,0.0,332
560,66.04678817032509,5.1,0.0,0.0,534
561,66.99547309027778,6.2,0.0,0.0,565
562,66.05981262156155,6.45,0.0,0.0,408
563,60.020572916666666,7.2,0.0,0.0,473
564,60.565686649069185,6.7,0.0,0.0,504
565,61.66291666666667,7.2,2.65,0.0,431
566,60.234965441789384,8.8,0.0,0.0,544
567,59.6138671875,8.2,0.0,0.0,575
568,59.60557186023895,8.5,0.0,0.0,489
569,59.729305555555555,9.3,0.0,0.0,579
